match_id,match_date,start_time,patch,duration,radiant_win,match_type,series_id,radiant_hero_1,radiant_hero_2,radiant_hero_3,radiant_hero_4,radiant_hero_5,dire_hero_1,dire_hero_2,dire_hero_3,dire_hero_4,dire_hero_5,weight
8716281634,2026-03-05 04:32:17,1772685137,7.40,1309,1,pro,1071125,11,86,108,27,84,4,62,39,49,112,1.0
8716298661,2026-03-05 05:10:10,1772687410,7.40,1827,1,pro,1071125,63,43,17,19,90,46,129,64,39,84,1.0
8716301516,2026-03-05 05:07:55,1772687275,7.40,1644,0,pro,1071127,41,31,35,26,57,138,129,145,119,30,1.0
8716182793,2026-03-05 01:27:34,1772674054,7.40,1401,0,pro,1071096,31,48,7,84,98,35,108,70,51,5,1.0
8716201258,2026-03-05 02:02:42,1772676162,7.40,1847,1,pro,1071096,35,38,54,100,86,58,46,11,9,104,1.0
8716098788,2026-03-04 22:35:37,1772663737,7.40,1657,1,pro,1071062,81,109,17,86,31,71,11,105,46,84,1.0
8716162766,2026-03-05 00:45:08,1772671508,7.40,1658,0,pro,1071077,84,39,70,37,49,88,110,11,31,47,1.0
8716143048,2026-03-05 00:01:38,1772668898,7.40,1915,1,pro,1071077,102,21,26,42,11,40,84,48,22,29,1.0
8716122399,2026-03-04 23:19:45,1772666385,7.40,1913,1,pro,1071077,81,54,86,155,27,49,75,84,48,19,1.0
8716117857,2026-03-04 23:11:59,1772665919,7.40,3686,0,pro,1071063,68,38,78,26,49,50,106,131,15,155,1.0
8716046885,2026-03-04 21:19:23,1772659163,7.40,1546,0,pro,1071029,35,49,102,86,60,27,81,44,101,39,1.0
8716014945,2026-03-04 20:39:58,1772656798,7.40,1695,0,pro,1071029,54,105,81,26,11,25,46,131,64,42,1.0
8716075051,2026-03-04 21:58:05,1772661485,7.40,1724,0,pro,1071062,14,46,71,101,64,26,29,100,70,11,1.0
8716075163,2026-03-04 22:00:23,1772661623,7.40,2556,1,pro,1071063,64,123,137,56,38,84,13,96,131,11,1.0
8715975683,2026-03-04 20:01:36,1772654496,7.40,1639,0,pro,1071029,1,74,105,87,81,109,14,5,131,17,1.0
8716002024,2026-03-04 20:25:56,1772655956,7.40,1535,0,pro,1071019,71,49,100,47,106,37,34,155,90,38,1.0
8715951786,2026-03-04 19:36:08,1772652968,7.40,1285,1,pro,1071019,58,23,155,90,70,123,96,38,37,126,1.0
8715906828,2026-03-04 18:53:31,1772650411,7.40,1427,1,pro,1070973,136,15,79,11,61,84,92,47,53,135,1.0
8715847635,2026-03-04 18:03:18,1772647398,7.40,1800,0,pro,1070973,5,101,50,28,85,100,79,15,110,11,1.0
8715778218,2026-03-04 17:05:20,1772643920,7.40,1166,1,pro,1070944,79,64,59,137,38,37,56,106,19,15,1.0
8715879907,2026-03-04 18:33:38,1772649218,7.40,1857,0,pro,1070940,74,58,98,11,100,71,90,155,72,87,1.0
8715779483,2026-03-04 17:07:28,1772644048,7.40,3175,1,pro,1070940,52,58,98,46,123,62,106,155,11,45,1.0
8715714910,2026-03-04 16:16:29,1772640989,7.40,1343,1,pro,1070928,73,155,109,145,84,40,18,46,87,108,1.0
